City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,prado,-17.3411,-39.2208,71.38,93,20,5.66,BR,1689560156
244,porto novo,6.4965,2.6036,76.35,90,100,6.29,BJ,1689560156
245,punta del este,-34.9667,-54.95,49.87,79,100,17.27,UY,1689560157
246,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,68,75,11.18,RU,1689560157
247,vernon,50.2581,-119.2691,92.93,28,76,11.99,CA,1689560157
248,raja,8.4596,25.678,70.99,84,7,1.39,SS,1689560157
249,as sulayyil,20.4607,45.5779,82.65,12,100,2.73,SA,1689560157
250,breckenridge,32.7557,-98.9023,97.0,34,0,8.05,US,1689560158
251,chibougamau,49.9168,-74.3659,67.62,88,75,3.44,CA,1689560158
252,saldanha,-33.0117,17.9442,55.9,88,100,1.54,ZA,1689560158
253,port sudan,19.6175,37.2164,92.16,43,92,4.21,SD,1689560158
254,callao,-12.0667,-77.15,68.72,77,75,14.97,PE,1689560158
255,dapa,9.7594,126.0531,84.2,70,71,4.79,PH,1689560159
256,paveh,35.0434,46.3565,67.69,24,0,1.92,IR,1689560159
257,orsa,54.5153,30.4053,61.36,67,100,8.01,BY,1689560159
258,krasnogorskoye,52.2953,86.1979,63.55,87,51,10.45,RU,1689560159
259,ndende,-2.4008,11.3581,69.33,88,7,3.67,GA,1689560159
260,usinsk,65.9939,57.5281,62.96,84,100,6.2,RU,1689560160
261,la passe,45.5549,-0.8967,57.97,79,0,2.73,FR,1689560160
262,yinchuan,38.4681,106.2731,84.81,24,0,5.75,CN,1689560160
263,beihai,21.4833,109.1,87.75,63,100,20.54,CN,1689560160
264,guerrero negro,27.9769,-114.0611,71.26,76,16,12.15,MX,1689560161
265,fortaleza,-3.7227,-38.5247,81.21,78,75,13.8,BR,1689560161
266,golbey,48.1976,6.4397,56.61,77,99,4.56,FR,1689560161
267,santa cruz,-17.8,-63.1667,65.66,68,75,11.5,BO,1689560162
268,errachidia,31.9275,-4.4285,84.25,5,0,5.75,MA,1689560162
269,touros,-5.1989,-35.4608,74.53,85,13,11.12,BR,1689560162
270,ituiutaba,-18.9689,-49.465,70.03,52,6,5.7,BR,1689560163
271,casilda,-33.0442,-61.1681,44.46,65,2,4.74,AR,1689560163
272,ouesso,1.6136,16.0517,71.87,92,25,2.33,CG,1689560163
273,hilo,19.7297,-155.09,82.26,77,100,6.91,US,1689560163
274,bel ombre,-4.6167,55.4167,78.64,83,20,14.97,SC,1689560164
275,nanga eboko,4.6833,12.3667,67.55,99,100,1.57,CM,1689560164
276,puerto aysen,-45.4,-72.7,23.5,98,58,1.83,CL,1689560164
277,rabo de peixe,37.8,-25.5833,67.51,77,75,3.44,PT,1689560164
278,mili,6.0815,171.735,82.67,71,40,13.11,MH,1689560165
279,wulingyuan,29.3494,110.5441,84.67,53,0,6.96,CN,1689560165
280,kirkwall,58.9848,-2.9587,51.96,93,100,14.97,GB,1689560165
281,puerto berrio,6.4916,-74.4033,78.4,83,98,2.77,CO,1689560165
282,zalesovo,53.9939,84.7431,61.27,92,100,4.92,RU,1689560165
283,longyearbyen,78.2186,15.6401,46.24,71,75,19.57,SJ,1689560166
284,sangueya,10.7,-14.3667,75.43,96,100,3.53,GN,1689560166
285,thinadhoo,0.5333,72.9333,81.68,75,64,6.4,MV,1689560166
286,cooper's town,26.8667,-77.5167,84.36,76,100,12.01,BS,1689560166
287,nanzhang chengguanzhen,31.7839,111.8275,85.68,58,0,9.28,CN,1689560167
288,guarapari,-20.6667,-40.4975,68.9,79,38,5.37,BR,1689560167
289,tromso,69.6496,18.957,59.02,77,100,13.8,NO,1689560167
290,salinopolis,-0.6136,-47.3561,77.99,88,24,11.03,BR,1689560167
291,prestea,5.4327,-2.1428,72.36,98,66,2.64,GH,1689560168
292,lecheng,25.1238,113.3254,84.65,79,100,3.36,CN,1689560168
293,shingu,33.7333,135.9833,90.52,53,0,1.86,JP,1689560168
294,lorengau,-2.0226,147.2712,85.51,71,98,13.35,PG,1689560169
295,oroqen zizhiqi,50.5667,123.7167,85.21,38,77,0.56,CN,1689560169
296,walvis bay,-22.9575,14.5053,70.23,25,0,10.18,NA,1689560169
297,saint-pierre,-21.3393,55.4781,67.68,68,0,12.66,RE,1689560169
298,morwell,-38.2333,146.4,57.65,49,0,2.89,AU,1689560107
299,sefrou,33.8319,-4.828,65.35,64,0,4.61,MA,1689560170
300,zapolyarnyy,69.4154,30.8136,54.68,62,100,5.32,RU,1689560170
301,badger,64.8,-147.5333,73.31,52,100,4.61,US,1689560170
302,tuy hoa,13.0833,109.3,87.12,60,100,17.05,VN,1689560171
303,zadar,44.1197,15.2422,70.41,88,0,1.14,HR,1689560171
304,bathsheba,13.2167,-59.5167,81.21,89,40,16.11,BB,1689560171
305,kili,5.6439,169.1211,83.28,74,100,13.51,MH,1689560172
306,agbabu,6.5886,4.8343,75.04,96,100,1.88,NG,1689560172
307,coquimbo,-29.9533,-71.3436,55.13,94,100,3.44,CL,1689560172
308,hurricane,37.1753,-113.2899,111.54,6,97,13.44,US,1689560173
309,el alto,-4.2714,-81.2147,71.26,84,67,16.64,PE,1689560173
310,boa vista,2.8197,-60.6733,78.78,78,40,2.3,BR,1689560173
311,ndola,-12.9587,28.6366,50.23,71,7,4.92,ZM,1689560173
312,nemuro,43.3236,145.575,55.35,93,99,6.44,JP,1689560059
313,ust-tsilma,65.441,52.1498,62.89,87,43,5.14,RU,1689560174
314,lhuentse,27.6679,91.1839,72.28,95,100,0.83,BT,1689560174
315,fortuna,40.5982,-124.1573,65.93,88,100,12.66,US,1689560001
316,val-d'or,48.1002,-77.7828,64.49,94,100,6.91,CA,1689559909
317,prokop'yevsk,53.9059,86.719,61.77,93,94,7.83,RU,1689560104
318,hyesan,41.4017,128.1778,73.13,63,62,3.02,KP,1689559994
319,colonia menno,-22.3667,-59.8167,63.52,53,100,6.06,PY,1689560175
320,sonari,27.0667,95.0333,78.85,99,100,4.76,IN,1689560175
321,san pedro pochutla,15.7333,-96.4667,83.71,91,100,5.06,MX,1689560176
322,levuka,50.1834,-105.4011,64.11,47,5,6.02,CA,1689560176
323,borba,-4.3878,-59.5939,79.75,59,100,0.85,BR,1689560176
324,andalgala,-27.5819,-66.3165,42.93,59,98,0.85,AR,1689560176
325,malvan,16.0667,73.4667,80.1,86,100,14.88,IN,1689560177
326,chernyanka,50.9409,37.8069,57.15,88,3,6.33,RU,1689560177
327,sittwe,20.15,92.9,81.25,86,63,10.83,MM,1689560177
328,hobyo,5.3505,48.5268,76.48,81,36,22.32,SO,1689560178
329,kristiansund,63.1115,7.732,59.05,88,100,4.61,NO,1689560178
330,tobol'sk,58.2,68.2667,63.1,67,38,7.81,RU,1689560178
331,floriano,-6.7669,-43.0225,77.29,38,7,7.4,BR,1689560178
332,petrov val,50.1434,45.2096,59.29,87,87,11.52,RU,1689560179
333,valparaiso,-33.0393,-71.6273,46.04,93,0,3.44,CL,1689560090
334,zhosaly,45.4878,64.0781,82.94,36,54,10.89,KZ,1689560179
335,hamilton,39.1834,-84.5333,77.77,87,75,19.57,US,1689560152
336,wajir,1.7471,40.0573,70.68,78,44,9.31,KE,1689560179
337,hami,42.8,93.45,100.81,9,19,3.09,CN,1689560180
338,howrah,22.5892,88.3103,86.0,84,40,6.91,IN,1689560180
339,angaur state,6.906,134.13,81.0,80,100,8.84,PW,1689560180
